post_id,parent_id,comment_id,text,category,clean_tokens
1458,null,null,Why is multiple comparison a problem?,title,"[""multiple"",""comparison"",""problem"",""?""]"
1459,null,null,How to identify transfer functions in a time series regression forecasting model?,title,"[""identify"",""transfer"",""functions"",""time"",""series"",""regression"",""forecasting"",""model"",""?""]"
1469,null,null,A Primer on Estimator Efficiency?,title,"[""primer"",""estimator"",""efficiency"",""?""]"
1471,null,null,Is it possible to directly read CSV columns as categorical data?,title,"[""possible"",""directly"",""read"",""csv"",""columns"",""categorical"",""data"",""?""]"
1478,null,null,Testing implementation of Anderson-Darling test for uniform RV,title,"[""testing"",""implementation"",""anderson-darling"",""test"",""uniform"",""rv""]"
1493,null,null,What is the distribution of $\chi^n_k$?,title,"[""distribution"",""$"",""\\chi^n_k"",""$"",""?""]"
1501,null,null,What resources/methods exist for testing/validation or evaluation of Statistical Methods,title,"[""resources/methods"",""exist"",""testing/validation"",""evaluation"",""statistical"",""methods""]"
1507,null,null,Example of using binomial distribution,title,"[""example"",""using"",""binomial"",""distribution""]"
1517,null,null,Useful statistical functions for business -- for use by a newbie,title,"[""useful"",""statistical"",""functions"",""business"",""--"",""use"",""newbie""]"
1520,null,null,The expected value of random variable on tosses of a coin,title,"[""expected"",""value"",""random"",""variable"",""tosses"",""coin""]"
1521,null,null,What is the difference between data mining and statistical analysis?,title,"[""difference"",""data"",""mining"",""statistical"",""analysis"",""?""]"
1525,null,null,What's the difference between a probability and a proportion?,title,"[""'s"",""difference"",""probability"",""proportion"",""?""]"
1529,null,null,What type of post-fit analysis of residuals do you use?,title,"[""type"",""post-fit"",""analysis"",""residuals"",""use"",""?""]"
1531,null,null,"""How to calculate the """"exact confidence interval"""" for relative risk?""",title,"[""``"",""calculate"",""``"",""''"",""exact"",""confidence"",""interval"",""''"",""''"",""relative"",""risk"",""?"",""''""]"
1538,null,null,Why does the supremum of the Brownian bridge have the Kolmogorov–Smirnov distribution?,title,"[""supremum"",""brownian"",""bridge"",""kolmogorov–smirnov"",""distribution"",""?""]"
1555,null,null,Test if differences between frequencies is significant,title,"[""test"",""differences"",""frequencies"",""significant""]"
1564,null,null,How can I calculate the conditional probability of several events?,title,"[""calculate"",""conditional"",""probability"",""several"",""events"",""?""]"
1576,null,null,What are the differences between Factor Analysis and Principal Component Analysis?,title,"[""differences"",""factor"",""analysis"",""principal"",""component"",""analysis"",""?""]"
1580,null,null,Regression coefficients that flip sign after including other predictors,title,"[""regression"",""coefficients"",""flip"",""sign"",""including"",""predictors""]"
1590,null,null,Does an r value of 0.60 mean that an increase in one variable is 60% likely to mean an increase in the other variable?,title,"[""r"",""value"",""0.60"",""mean"",""increase"",""one"",""variable"",""60"",""%"",""likely"",""mean"",""increase"",""variable"",""?""]"
1595,null,null,Python as a statistics workbench,title,"[""python"",""statistics"",""workbench""]"
1610,null,null,Is there a way to remember the definitions of Type I and Type II Errors?,title,"[""way"",""remember"",""definitions"",""type"",""type"",""ii"",""errors"",""?""]"
1611,null,null,Do working statisticians care about the difference between frequentist and Bayesian inference?,title,"[""working"",""statisticians"",""care"",""difference"",""frequentist"",""bayesian"",""inference"",""?""]"
1621,null,null,Using information geometry to define distances and volumes…useful?,title,"[""using"",""information"",""geometry"",""define"",""distances"",""volumes…useful"",""?""]"
1622,null,null,Comparing 2 independent non-central t statistics,title,"[""comparing"",""2"",""independent"",""non-central"",""statistics""]"
1624,null,null,"Based on z-score, is it possible to compute confidence without looking at a z-table?",title,"[""based"",""z-score"","","",""possible"",""compute"",""confidence"",""without"",""looking"",""z-table"",""?""]"
1637,null,null,"If the t-test and the ANOVA for two groups are equivalent, why aren't their assumptions equivalent?",title,"[""t-test"",""anova"",""two"",""groups"",""equivalent"","","",""n't"",""assumptions"",""equivalent"",""?""]"
1645,null,null,Appropriate normality tests for small samples,title,"[""appropriate"",""normality"",""tests"",""small"",""samples""]"
1646,null,null,Intraclass correlation and aggregation,title,"[""intraclass"",""correlation"",""aggregation""]"
1651,null,null,How to fit a negative binomial distribution in R while incorporating censoring,title,"[""fit"",""negative"",""binomial"",""distribution"",""r"",""incorporating"",""censoring""]"
1661,null,null,Which 2-sample univariate t-test to use?,title,"[""2-sample"",""univariate"",""t-test"",""use"",""?""]"
1674,null,null,"""Fisher information and the """"surface area of the typical set""""""",title,"[""``"",""fisher"",""information"",""``"",""''"",""surface"",""area"",""typical"",""set"",""''"",""''"",""''""]"
1676,null,null,I just installed the latest version of R. What packages should I obtain?,title,"[""installed"",""latest"",""version"",""r."",""packages"",""obtain"",""?""]"
1681,null,null,Chernoff-like bound for largest allowed deviation?,title,"[""chernoff-like"",""bound"",""largest"",""allowed"",""deviation"",""?""]"
1699,null,null,Tangency portfolio in R,title,"[""tangency"",""portfolio"",""r""]"
1708,null,null,Variation in PCA weights,title,"[""variation"",""pca"",""weights""]"
1709,null,null,How to draw a probable outcome from a distribution?,title,"[""draw"",""probable"",""outcome"",""distribution"",""?""]"
1719,null,null,Video/Audio online material for getting into Bayesian analysis and logistic-regressions,title,"[""video/audio"",""online"",""material"",""getting"",""bayesian"",""analysis"",""logistic-regressions""]"
1729,null,null,Export/format output from pairwise.t.test to LaTeX,title,"[""export/format"",""output"",""pairwise.t.test"",""latex""]"
1735,null,null,Method to compare variable coefficient in two regression models,title,"[""method"",""compare"",""variable"",""coefficient"",""two"",""regression"",""models""]"
1736,null,null,Survival Analysis tools in Python,title,"[""survival"",""analysis"",""tools"",""python""]"
1737,null,null,How to find summary statistics for all unique combinations of factors in a data.frame in R?,title,"[""find"",""summary"",""statistics"",""unique"",""combinations"",""factors"",""data.frame"",""r"",""?""]"
1753,null,null,Visualizing standard deviation on a Cartesian plot,title,"[""visualizing"",""standard"",""deviation"",""cartesian"",""plot""]"
1764,null,null,What are alternatives to broken axes?,title,"[""alternatives"",""broken"",""axes"",""?""]"
1773,null,null,What are correct values for precision and recall in edge cases?,title,"[""correct"",""values"",""precision"",""recall"",""edge"",""cases"",""?""]"
1776,null,null,Shall I trust AIC (non-full model) or slope (full model)?,title,"[""shall"",""trust"",""aic"",""("",""non-full"",""model"","")"",""slope"",""("",""full"",""model"","")"",""?""]"
1780,null,null,How to start an analysis of keywords from a bibliography and detect correlations?,title,"[""start"",""analysis"",""keywords"",""bibliography"",""detect"",""correlations"",""?""]"
1781,null,null,Unbiased estimation of covariance matrix for multiply censored data,title,"[""unbiased"",""estimation"",""covariance"",""matrix"",""multiply"",""censored"",""data""]"
1787,null,null,Using bootstrap for glm coefficients variance estimation (in R),title,"[""using"",""bootstrap"",""glm"",""coefficients"",""variance"",""estimation"",""("",""r"","")""]"
1797,null,null,What would a confidence interval around a predicted value from a mixed effects model mean?,title,"[""would"",""confidence"",""interval"",""around"",""predicted"",""value"",""mixed"",""effects"",""model"",""mean"",""?""]"
1805,null,null,Fisher's Exact Test in contingency tables larger than 2x2,title,"[""fisher"",""'s"",""exact"",""test"",""contingency"",""tables"",""larger"",""2x2""]"
1807,null,null,"How to perform Student's t-test having only sample size, sample average and population average are known?",title,"[""perform"",""student"",""'s"",""t-test"",""sample"",""size"","","",""sample"",""average"",""population"",""average"",""known"",""?""]"
1813,null,null,Comparing two genetic algorithms,title,"[""comparing"",""two"",""genetic"",""algorithms""]"
1815,null,null,Recommended books on experiment design?,title,"[""recommended"",""books"",""experiment"",""design"",""?""]"
1818,null,null,How to determine the sample size needed for repeated measurement ANOVA?,title,"[""determine"",""sample"",""size"",""needed"",""repeated"",""measurement"",""anova"",""?""]"
1826,null,null,Cross-Validation in plain english?,title,"[""cross-validation"",""plain"",""english"",""?""]"
1829,null,null,What algorithm is used in linear regression?,title,"[""algorithm"",""used"",""linear"",""regression"",""?""]"
1844,null,null,What are the pros and cons of using the logrank vs. the Mantel-Haenszel method for computing the Hazard Ratio in survival analysis?,title,"[""pros"",""cons"",""using"",""logrank"",""vs."",""mantel-haenszel"",""method"",""computing"",""hazard"",""ratio"",""survival"",""analysis"",""?""]"
1848,null,null,Bayesian rating system with multiple categories for each rating,title,"[""bayesian"",""rating"",""system"",""multiple"",""categories"",""rating""]"
1850,null,null,Difference between Cohen's d and Hedges' g for effect size metrics,title,"[""difference"",""cohen"",""'s"",""hedges"",""'"",""g"",""effect"",""size"",""metrics""]"
1853,null,null,Testing two independent samples for null of same skew?,title,"[""testing"",""two"",""independent"",""samples"",""null"",""skew"",""?""]"
1856,null,null,Application of machine learning techniques in small sample clinical studies,title,"[""application"",""machine"",""learning"",""techniques"",""small"",""sample"",""clinical"",""studies""]"
1862,null,null,How to summarize categorical data?,title,"[""summarize"",""categorical"",""data"",""?""]"
1865,null,null,What is the expected number of runs of same color in a standard deck of cards?,title,"[""expected"",""number"",""runs"",""color"",""standard"",""deck"",""cards"",""?""]"
1873,null,null,"Based on my data, is Jack likely to be clumsy?",title,"[""based"",""data"","","",""jack"",""likely"",""clumsy"",""?""]"
1874,null,null,Parametric Surface Reconstruction from Contours with Quick Rescaling,title,"[""parametric"",""surface"",""reconstruction"",""contours"",""quick"",""rescaling""]"
1875,null,null,Is my weatherman accurate?,title,"[""weatherman"",""accurate"",""?""]"
1883,null,null,Revolutions in statistics for the last 50 years?,title,"[""revolutions"",""statistics"",""last"",""50"",""years"",""?""]"
1895,null,null,"""Determining the """"variability"""" of a benchmark""",title,"[""``"",""determining"",""``"",""''"",""variability"",""''"",""''"",""benchmark"",""''""]"
1906,null,null,Data mining conferences?,title,"[""data"",""mining"",""conferences"",""?""]"
1912,null,null,Why can scale invariance cause a loss of explanatory power?,title,"[""scale"",""invariance"",""cause"",""loss"",""explanatory"",""power"",""?""]"
1915,null,null,Newman's modularity clustering for graphs,title,"[""newman"",""'s"",""modularity"",""clustering"",""graphs""]"
1927,null,null,"Is there an accepted definition for the median of a sample on the plane, or higher ordered spaces?",title,"[""accepted"",""definition"",""median"",""sample"",""plane"","","",""higher"",""ordered"",""spaces"",""?""]"
1944,null,null,What is the name of this normalization?,title,"[""name"",""normalization"",""?""]"
1955,null,null,Comparing noisy data sequences to estimate the likelihood of them being produced by different instances of an identical Markov process,title,"[""comparing"",""noisy"",""data"",""sequences"",""estimate"",""likelihood"",""produced"",""different"",""instances"",""identical"",""markov"",""process""]"
1961,null,null,"Can you use normal correlation for vectors with only 2 (or 3), ordered, levels?",title,"[""use"",""normal"",""correlation"",""vectors"",""2"",""("",""3"","")"","","",""ordered"","","",""levels"",""?""]"
1963,null,null,Looking for good introductory treatment of meta-analysis,title,"[""looking"",""good"",""introductory"",""treatment"",""meta-analysis""]"
1964,null,null,Kernel bandwidth in Kernel density estimation,title,"[""kernel"",""bandwidth"",""kernel"",""density"",""estimation""]"
1966,null,null,Density estimation methods?,title,"[""density"",""estimation"",""methods"",""?""]"
1970,null,null,What is a statistical journal with quick turnaround?,title,"[""statistical"",""journal"",""quick"",""turnaround"",""?""]"
1972,null,null,Family-wise confidence intervals,title,"[""family-wise"",""confidence"",""intervals""]"
1995,null,null,Under what conditions should one use multilevel/hierarchical analysis?,title,"[""conditions"",""one"",""use"",""multilevel/hierarchical"",""analysis"",""?""]"
1998,null,null,"How problematic is it to control for non-independent covariates in an observational (i.e., non-randomized) study?",title,"[""problematic"",""control"",""non-independent"",""covariates"",""observational"",""("",""i.e."","","",""non-randomized"","")"",""study"",""?""]"
2002,null,null,How do I decide what span to use in LOESS regression in R?,title,"[""decide"",""span"",""use"",""loess"",""regression"",""r"",""?""]"
2007,null,null,A survey of data-mining software tools,title,"[""survey"",""data-mining"",""software"",""tools""]"
2008,null,null,"""Measures of publication """"importance"""" in statistics?""",title,"[""``"",""measures"",""publication"",""``"",""''"",""importance"",""''"",""''"",""statistics"",""?"",""''""]"
2024,null,null,Plotting standard errors,title,"[""plotting"",""standard"",""errors""]"
2032,null,null,Recommend some books/articles/guides to enter predictive analytics?,title,"[""recommend"",""books/articles/guides"",""enter"",""predictive"",""analytics"",""?""]"
2037,null,null,Estimating mean and st dev of a truncated gaussian curve without spike,title,"[""estimating"",""mean"",""st"",""dev"",""truncated"",""gaussian"",""curve"",""without"",""spike""]"
2038,null,null,Interpretation of biplots in principal components analysis,title,"[""interpretation"",""biplots"",""principal"",""components"",""analysis""]"
2059,null,null,Learning parameters of a mixture of Gaussian using MLE,title,"[""learning"",""parameters"",""mixture"",""gaussian"",""using"",""mle""]"
2061,null,null,Short online videos that could assist a lecture on statistics,title,"[""short"",""online"",""videos"",""could"",""assist"",""lecture"",""statistics""]"
2066,null,null,How can I (numerically) approximate values for a beta distribution with large alpha & beta,title,"[""("",""numerically"","")"",""approximate"",""values"",""beta"",""distribution"",""large"",""alpha"",""&"",""beta""]"
2067,null,null,Follow up: In a mixed within-between ANOVA plot estimated SEs or actual SEs?,title,"[""follow"","":"",""mixed"",""within-between"",""anova"",""plot"",""estimated"",""ses"",""actual"",""ses"",""?""]"
2072,null,null,Does a cointegration model exist for irregularly spaced time series?,title,"[""cointegration"",""model"",""exist"",""irregularly"",""spaced"",""time"",""series"",""?""]"
2079,null,null,What's good about I-projections?,title,"[""'s"",""good"",""i-projections"",""?""]"
2085,null,null,Checking assumptions for random effects in nested mixed-effects models in R / S-Plus,title,"[""checking"",""assumptions"",""random"",""effects"",""nested"",""mixed-effects"",""models"",""r"",""/"",""s-plus""]"
2086,null,null,Quickly evaluate (visually) correlations between ordered categorical data in R?,title,"[""quickly"",""evaluate"",""("",""visually"","")"",""correlations"",""ordered"",""categorical"",""data"",""r"",""?""]"
2092,null,null,Relationship between poisson and exponential distribution,title,"[""relationship"",""poisson"",""exponential"",""distribution""]"
2093,null,null,"How to make Marsaglia polar method return values [0, 1)?",title,"[""make"",""marsaglia"",""polar"",""method"",""return"",""values"",""["",""0"","","",""1"","")"",""?""]"
2104,null,null,How to get Sphericity in R for a nested within subject design?,title,"[""get"",""sphericity"",""r"",""nested"",""within"",""subject"",""design"",""?""]"
2108,null,null,Using [R] to connect to a Web Service,title,"[""using"",""["",""r"",""]"",""connect"",""web"",""service""]"
2111,null,null,Computing best subset of predictors for linear regression,title,"[""computing"",""best"",""subset"",""predictors"",""linear"",""regression""]"
2125,null,null,What's the difference between correlation and simple linear regression?,title,"[""'s"",""difference"",""correlation"",""simple"",""linear"",""regression"",""?""]"
2131,null,null,For a classification problem if class variable has unequal distribution which technique we should use?,title,"[""classification"",""problem"",""class"",""variable"",""unequal"",""distribution"",""technique"",""use"",""?""]"
2134,null,null,R package for fixed-effect logistic regression,title,"[""r"",""package"",""fixed-effect"",""logistic"",""regression""]"
2146,null,null,"For data similar to audio, how to determine if there are 1 or 2 categories?",title,"[""data"",""similar"",""audio"","","",""determine"",""1"",""2"",""categories"",""?""]"
2149,null,null,What is the difference between a particle filter (sequential Monte Carlo) and a Kalman filter?,title,"[""difference"",""particle"",""filter"",""("",""sequential"",""monte"",""carlo"","")"",""kalman"",""filter"",""?""]"
2151,null,null,How to plot ROC curves in multiclass classification?,title,"[""plot"",""roc"",""curves"",""multiclass"",""classification"",""?""]"
2154,null,null,How to interpret a control chart containing a majority of zero values? (Part 2),title,"[""interpret"",""control"",""chart"",""containing"",""majority"",""zero"",""values"",""?"",""("",""part"",""2"","")""]"
2167,null,null,"""Applying the """"kernel trick"""" to linear methods?""",title,"[""``"",""applying"",""``"",""''"",""kernel"",""trick"",""''"",""''"",""linear"",""methods"",""?"",""''""]"
2169,null,null,How to compute the standard error of an L-estimator?,title,"[""compute"",""standard"",""error"",""l-estimator"",""?""]"
2181,null,null,Book recommendations for multivariate analysis,title,"[""book"",""recommendations"",""multivariate"",""analysis""]"
2190,null,null,How to reconstruct ensemble of trees from random forest?,title,"[""reconstruct"",""ensemble"",""trees"",""random"",""forest"",""?""]"
2213,null,null,What's the difference between feed-forward and recurrent neural networks?,title,"[""'s"",""difference"",""feed-forward"",""recurrent"",""neural"",""networks"",""?""]"
2214,null,null,Estimating parameters of sum-stable RV via L-estimators,title,"[""estimating"",""parameters"",""sum-stable"",""rv"",""via"",""l-estimators""]"
2230,null,null,Convergence in probability vs. almost sure convergence,title,"[""convergence"",""probability"",""vs."",""almost"",""sure"",""convergence""]"
2234,null,null,Alternatives to logistic regression in R,title,"[""alternatives"",""logistic"",""regression"",""r""]"
2245,null,null,Statistics and causal inference?,title,"[""statistics"",""causal"",""inference"",""?""]"
2256,null,null,Adding labels to points using mds and scatter3d package with R,title,"[""adding"",""labels"",""points"",""using"",""mds"",""scatter3d"",""package"",""r""]"
2258,null,null,How to prove that preimage of measurable space is measurable?,title,"[""prove"",""preimage"",""measurable"",""space"",""measurable"",""?""]"
2262,null,null,Area Under Curve (AUC) - given peak mean and standard deviation (SD),title,"[""area"",""curve"",""("",""auc"","")"",""-"",""given"",""peak"",""mean"",""standard"",""deviation"",""("",""sd"","")""]"
2264,null,null,Expected value of small sample,title,"[""expected"",""value"",""small"",""sample""]"
2269,null,null,Access tables created in SAS Enterprise Guide Client into SAS Enterprise Miner Client?,title,"[""access"",""tables"",""created"",""sas"",""enterprise"",""guide"",""client"",""sas"",""enterprise"",""miner"",""client"",""?""]"
2275,null,null,How can I determine accuracy of past probability calculations?,title,"[""determine"",""accuracy"",""past"",""probability"",""calculations"",""?""]"
2282,null,null,Counting how many times a package has been loaded in R?,title,"[""counting"",""many"",""times"",""package"",""loaded"",""r"",""?""]"
2294,null,null,Lumping in Markov process with absorbing states,title,"[""lumping"",""markov"",""process"",""absorbing"",""states""]"
2298,null,null,Visualization of a multivariate function,title,"[""visualization"",""multivariate"",""function""]"
2299,null,null,Statistical forensics: Benford and beyond,title,"[""statistical"",""forensics"","":"",""benford"",""beyond""]"
2306,null,null,"""Feature selection for """"final"""" model when performing cross-validation in machine learning""",title,"[""``"",""feature"",""selection"",""``"",""''"",""final"",""''"",""''"",""model"",""performing"",""cross-validation"",""machine"",""learning"",""''""]"
2326,null,null,Setting up experiment for statistical analysis,title,"[""setting"",""experiment"",""statistical"",""analysis""]"
2328,null,null,How to perform Neural Network modelling effectively?,title,"[""perform"",""neural"",""network"",""modelling"",""effectively"",""?""]"
2335,null,null,Output of logistic model in R,title,"[""output"",""logistic"",""model"",""r""]"
2337,null,null,How to standardize a data-set,title,"[""standardize"",""data-set""]"
2344,null,null,Best way to present a random forest in a publication?,title,"[""best"",""way"",""present"",""random"",""forest"",""publication"",""?""]"
2348,null,null,Metropolis-Hastings algorithms used in practice,title,"[""metropolis-hastings"",""algorithms"",""used"",""practice""]"
2350,null,null,Why does the random forest OOB estimate of error improve when the number of features selected are decreased?,title,"[""random"",""forest"",""oob"",""estimate"",""error"",""improve"",""number"",""features"",""selected"",""decreased"",""?""]"
2352,null,null,When are Shao's results on leave-one-out cross-validation applicable?,title,"[""shao"",""'s"",""results"",""leave-one-out"",""cross-validation"",""applicable"",""?""]"
2356,null,null,Are there any examples where Bayesian credible intervals are obviously inferior to frequentist confidence intervals,title,"[""examples"",""bayesian"",""credible"",""intervals"",""obviously"",""inferior"",""frequentist"",""confidence"",""intervals""]"
2374,null,null,Factor analysis of questionnaires composed of Likert items,title,"[""factor"",""analysis"",""questionnaires"",""composed"",""likert"",""items""]"
2377,null,null,A transform to change skew without affecting kurtosis?,title,"[""transform"",""change"",""skew"",""without"",""affecting"",""kurtosis"",""?""]"
2379,null,null,What are the 'big problems' in statistics?,title,"[""'big"",""problems"",""'"",""statistics"",""?""]"
2385,null,null,Data visualisation- summarise 190 means and response rates,title,"[""data"",""visualisation-"",""summarise"",""190"",""means"",""response"",""rates""]"
2391,null,null,What is the relationship between a chi squared test and test of equal proportions?,title,"[""relationship"",""chi"",""squared"",""test"",""test"",""equal"",""proportions"",""?""]"
2397,null,null,Asymptotic distribution of multinomial,title,"[""asymptotic"",""distribution"",""multinomial""]"
2401,null,null,Is it appropriate to treat n-point Likert scale data as n trials from a binomial process?,title,"[""appropriate"",""treat"",""n-point"",""likert"",""scale"",""data"",""n"",""trials"",""binomial"",""process"",""?""]"
2419,null,null,Boosted decision trees in python?,title,"[""boosted"",""decision"",""trees"",""python"",""?""]"
2420,null,null,Date/Time data on the y-axis,title,"[""date/time"",""data"",""y-axis""]"
2423,null,null,Standard reference for classical mathematical statistics?,title,"[""standard"",""reference"",""classical"",""mathematical"",""statistics"",""?""]"
2427,null,null,"""How should one approch Project Euler problem 213 (""""Flea Circus"""")?""",title,"[""``"",""one"",""approch"",""project"",""euler"",""problem"",""213"",""("",""``"",""''"",""flea"",""circus"",""''"",""''"","")"",""?"",""''""]"
2430,null,null,When does rules based classifier outperforms decision trees?,title,"[""rules"",""based"",""classifier"",""outperforms"",""decision"",""trees"",""?""]"
2432,null,null,LOESS that allows discontinuities,title,"[""loess"",""allows"",""discontinuities""]"
2446,null,null,How to choose df for comparisons between summary statistics (e.g. slope values)?,title,"[""choose"",""df"",""comparisons"",""summary"",""statistics"",""("",""e.g"",""."",""slope"",""values"","")"",""?""]"
2467,null,null,Classification after factor analysis,title,"[""classification"",""factor"",""analysis""]"
2469,null,null,Post hoc tests in ANCOVA,title,"[""post"",""hoc"",""tests"",""ancova""]"
2481,null,null,Asymptotic power,title,"[""asymptotic"",""power""]"
2483,null,null,How to model and test a decision support system (e.g. a terrorist warning system)?,title,"[""model"",""test"",""decision"",""support"",""system"",""("",""e.g"",""."",""terrorist"",""warning"",""system"","")"",""?""]"
2492,null,null,Is normality testing 'essentially useless'?,title,"[""normality"",""testing"",""'essentially"",""useless"",""'"",""?""]"
2493,null,null,Managing error with GPS routes (theoretical framework?),title,"[""managing"",""error"",""gps"",""routes"",""("",""theoretical"",""framework"",""?"","")""]"
2499,null,null,"""What is a """"kernel"""" in plain English?""",title,"[""``"",""``"",""''"",""kernel"",""''"",""''"",""plain"",""english"",""?"",""''""]"
2504,null,null,Test for finite variance?,title,"[""test"",""finite"",""variance"",""?""]"
2510,null,null,Can we approximate this function by a polynomial?,title,"[""approximate"",""function"",""polynomial"",""?""]"
2513,null,null,Pitman's test of equality of variance and testing for regression to the mean: am I doing the right thing?,title,"[""pitman"",""'s"",""test"",""equality"",""variance"",""testing"",""regression"",""mean"","":"",""right"",""thing"",""?""]"
2516,null,null,Are large data sets inappropriate for hypothesis testing?,title,"[""large"",""data"",""sets"",""inappropriate"",""hypothesis"",""testing"",""?""]"
2537,null,null,Confidence intervals on differences in choices in a GEE framework: methods and alternatives?,title,"[""confidence"",""intervals"",""differences"",""choices"",""gee"",""framework"","":"",""methods"",""alternatives"",""?""]"
2541,null,null,What references should be cited to support using 30 as a large enough sample size?,title,"[""references"",""cited"",""support"",""using"",""30"",""large"",""enough"",""sample"",""size"",""?""]"
2547,null,null,Why is median age a better statistic than mean age?,title,"[""median"",""age"",""better"",""statistic"",""mean"",""age"",""?""]"
2563,null,null,What are some of the best ranking algorithms with inputs as up and down votes?,title,"[""best"",""ranking"",""algorithms"",""inputs"",""votes"",""?""]"
2573,null,null,Difference between histogram and pdf?,title,"[""difference"",""histogram"",""pdf"",""?""]"
2580,null,null,Measuring goodness-of-fit in a model that combines two distributions,title,"[""measuring"",""goodness-of-fit"",""model"",""combines"",""two"",""distributions""]"
2585,null,null,Graphing low-end prices of goods in a market over time,title,"[""graphing"",""low-end"",""prices"",""goods"",""market"",""time""]"
2591,null,null,When to use (non)parametric test of homoscedasticity assumption?,title,"[""use"",""("",""non"","")"",""parametric"",""test"",""homoscedasticity"",""assumption"",""?""]"
2597,null,null,What stop-criteria for agglomerative hierarchical clustering are used in practice?,title,"[""stop-criteria"",""agglomerative"",""hierarchical"",""clustering"",""used"",""practice"",""?""]"
2598,null,null,Probability to find the treasure five times in row,title,"[""probability"",""find"",""treasure"",""five"",""times"",""row""]"
2611,null,null,How to combine confidence intervals for a variance component of a mixed-effects model when using multiple imputation,title,"[""combine"",""confidence"",""intervals"",""variance"",""component"",""mixed-effects"",""model"",""using"",""multiple"",""imputation""]"
2613,null,null,How to explain such a big difference between parametric and non parametric test (and other questions)?,title,"[""explain"",""big"",""difference"",""parametric"",""non"",""parametric"",""test"",""("",""questions"","")"",""?""]"
2615,null,null,Analytical solutions to limits of correlation stress testing,title,"[""analytical"",""solutions"",""limits"",""correlation"",""stress"",""testing""]"
2617,null,null,How can I determine the best fit normal distribution from this information?,title,"[""determine"",""best"",""fit"",""normal"",""distribution"",""information"",""?""]"
2619,null,null,Continuous and Categorical variable data analysis,title,"[""continuous"",""categorical"",""variable"",""data"",""analysis""]"
2623,null,null,Autocorrelation in the presence of non-stationarity?,title,"[""autocorrelation"",""presence"",""non-stationarity"",""?""]"
2631,null,null,Can someone explain the C-Index in the context of hierarchical clustering?,title,"[""someone"",""explain"",""c-index"",""context"",""hierarchical"",""clustering"",""?""]"
2635,null,null,Conjugate prior for a Gamma distribution,title,"[""conjugate"",""prior"",""gamma"",""distribution""]"
2639,null,null,How to compare different distributions with reference truth value in Matlab?,title,"[""compare"",""different"",""distributions"",""reference"",""truth"",""value"",""matlab"",""?""]"
2641,null,null,"""What is the difference between """"likelihood"""" and """"probability""""?""",title,"[""``"",""difference"",""``"",""''"",""likelihood"",""''"",""''"",""``"",""''"",""probability"",""''"",""''"",""?"",""''""]"
2648,null,null,Predicting proportions from time with a discontinuity,title,"[""predicting"",""proportions"",""time"",""discontinuity""]"
2650,null,null,Panel data and selection models issue,title,"[""panel"",""data"",""selection"",""models"",""issue""]"
2661,null,null,"""Difference between Norm of Residuals and what is a """"good"""" Norm of Residual""",title,"[""``"",""difference"",""norm"",""residuals"",""``"",""''"",""good"",""''"",""''"",""norm"",""residual"",""''""]"
2667,null,null,All-Purpose Sample Entropy,title,"[""all-purpose"",""sample"",""entropy""]"
2670,null,null,Odds at least 1 person is born in January?,title,"[""odds"",""least"",""1"",""person"",""born"",""january"",""?""]"
2675,null,null,How to calculate average time in service,title,"[""calculate"",""average"",""time"",""service""]"
2686,null,null,Understanding productivity or expenses over time without falling victim to stochastic interruptions,title,"[""understanding"",""productivity"",""expenses"",""time"",""without"",""falling"",""victim"",""stochastic"",""interruptions""]"
2688,null,null,Whether to use robust linear regression or bootstrapping when there is heteroscedasticity?,title,"[""whether"",""use"",""robust"",""linear"",""regression"",""bootstrapping"",""heteroscedasticity"",""?""]"
2691,null,null,"Making sense of principal component analysis, eigenvectors & eigenvalues",title,"[""making"",""sense"",""principal"",""component"",""analysis"","","",""eigenvectors"",""&"",""eigenvalues""]"
2711,null,null,How good is my error?,title,"[""good"",""error"",""?""]"
2717,null,null,Clustering with a distance matrix,title,"[""clustering"",""distance"",""matrix""]"
2728,null,null,Algorithm for choosing the number of clusters when using pam in R?,title,"[""algorithm"",""choosing"",""number"",""clusters"",""using"",""pam"",""r"",""?""]"
2730,null,null,Good resource to understand ANOVA and ANCOVA?,title,"[""good"",""resource"",""understand"",""anova"",""ancova"",""?""]"
2739,null,null,"""What is an """"If-Then"""" rule?""",title,"[""``"",""``"",""''"",""if-then"",""''"",""''"",""rule"",""?"",""''""]"
2742,null,null,On the use of oblique rotation after PCA,title,"[""use"",""oblique"",""rotation"",""pca""]"
2746,null,null,How to efficiently generate random positive-semidefinite correlation matrices?,title,"[""efficiently"",""generate"",""random"",""positive-semidefinite"",""correlation"",""matrices"",""?""]"
2748,null,null,How to conduct conditional Cox regression for matched case-control study?,title,"[""conduct"",""conditional"",""cox"",""regression"",""matched"",""case-control"",""study"",""?""]"
2772,null,null,What is the difference between PCA and asymptotic PCA?,title,"[""difference"",""pca"",""asymptotic"",""pca"",""?""]"
2787,null,null,What's recommended for the number of users to use in qualitative and quantitative usability studies?,title,"[""'s"",""recommended"",""number"",""users"",""use"",""qualitative"",""quantitative"",""usability"",""studies"",""?""]"
2806,null,null,Best PCA algorithm for huge number of features (>10K)?,title,"[""best"",""pca"",""algorithm"",""huge"",""number"",""features"",""("","">"",""10k"","")"",""?""]"
2828,null,null,Measures of model complexity,title,"[""measures"",""model"",""complexity""]"
